TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,COMMENT
VW_RENDER_UNITS,ACTUAL_QUANTITY,29,FLOAT,,,,YES,,
VW_RENDER_UNITS,APPROVING_USER,30,TEXT,16777216,,,YES,,
VW_RENDER_UNITS,APPROVED_DATE,31,DATE,,,,YES,,
VW_RENDER_UNITS,COMPLETED_DATE,32,DATE,,,,YES,,
VW_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,33,DATE,,,,YES,,
VW_RENDER_UNITS,CHANGE_REQUEST_APPROVAL_NUMBER,34,TEXT,16777216,,,YES,,
VW_RENDER_UNITS,CONSTRUCTION_NOTES,35,TEXT,16777216,,,YES,,
VW_RENDER_UNITS,TASK_NOTES,36,TEXT,16777216,,,YES,,
VW_RENDER_UNITS,PLANNED_QUANTITY,37,FLOAT,,,,YES,,
VW_RENDER_UNITS,STREET_ADDRESS,38,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,LONGITUDE,1,FLOAT,,,,YES,,
VW_VETRO_LOCATIONS,LATITUDE,2,FLOAT,,,,YES,,
VW_VETRO_LOCATIONS,V_LAYER,3,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,V_PROJECT,4,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,V_PLAN,5,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,V_STATUS,6,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,ID,7,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,ADDRESS,8,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STREET_ADDRESS,9,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,HOUSE_NUMBER,10,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STREET_NAME,11,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STREET_SUFFIX,12,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STREET_DIRECTION,13,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,CITY,14,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STATE,15,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,ZIP_CODE,16,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,BUILDING_TYPE,17,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,NOTE,18,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,DROP_TYPE,19,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,BUILD,20,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,REC_MEMBER,21,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,ADDRESS_TYPE,22,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,DEFERRED_BUILD,23,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,UNIT_NUMBER,24,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,FIBER_AVAILABILITY_STATUS,25,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,STATUS,26,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,PREM_ID,27,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,PREMISE_ID,28,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,NISC_SERVICE_LOCATION,29,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,FABRIC_ID,30,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,SERVICE_ZONE_ID,31,TEXT,16777216,,,YES,,
VW_VETRO_LOCATIONS,VETRO_ID,32,TEXT,16777216,,,YES,,
